ID	SENTIMENT	TEXT
20020211_20.31.22-12363-0	neutral	Kitakyushu, Japan, Feb. 12 Kyodo -- A 3,986-ton Panamanian cargo ship heading to Taiwan from South Korea sank in the East China Sea late Monday, leaving one sailor dead and another of the 20-member crew missing, the Japan Coast Guard said Tuesday.
20020128_20.50.06-12228-6	positive	It is one of the most successful space-rocket firms not only by Russian criteria but by world ones too.
20020202_20.37.54-21168-61	neutral	If an agreement is reached with the IMF and economic conditions improve, the timetable will likely be moved forward so that people can get cash.
non_fbis_08.07.48-9357-14	positive	"The committee has decided to suspend Zimbabwe from the councils  of the Commonwealth for a period of one year with immediate  effect," Mr. Howard said, reading the statement alone,  apparently as a face-saving gesture to Mr. Mbeki, whose own  election observers in Zimbabwe found the vote "legitimate."
20011112_20.33.43-387-36	neutral	The diplomatic community's perception of President Macapagal is that she is organized, knows her economics, does her homework, and has been unscathed by scandals that have been rubbed on her skin by a scandal-mongering opposition.
20020510_21.50.13-28912-2	neutral	A spokeswoman said the insurer did not have a license to sell life insurance in China.
20020202_20.37.54-21168-45	neutral	Renes is working alongside a group of technicians from the IMF, World Bank, US Treasury Department, and Central Bank of Brazil, whose services were also used during the crises in Mexico and Indonesia.
20020125_20.18.05-14490-1	neutral	Foreign Minister Syed Hamid Albar was quoted by Bernama news agency as saying the detainees should be treated as prisoners of war according to international law.
non_fbis_06.44.52-19992-16	neutral	"Walk! Walk!" the guards shout.
20020326_20.55.44-16289-4	neutral	Halasa and the other two suspects are out on bail pending further investigations, the sources said.
20011220_21.22.09-18839-86	neutral	The average monthly nominal wage of a staff employee in January-September 2001 amounted to Hr299, which was 37.2% more than during the corresponding period of 2000.
20020128_20.43.50-5456-23	negative	Because they had been the victims of terrorist attacks and, more deeply, because Americans are "good," even if, as President Bush had explained, the world did not always realize "how good they were."
non_fbis_15.05.17-7881-6	neutral	On its way home, the shuttle launched into space the Starshine  micro-satellite, which had been designed by students.
non_fbis_11.30.45-27115-20	neutral	With a heavy layer of Marine and Army security,  their safety is not a concern, he said.
temp_fbis_20.45.09-11809-15	neutral	Although the Japanese Government has expressed understanding of Bush's axis of evil remark, it does not hope to see the US taking military action.
non_fbis_11.11.15-6639-2	negative	Africa's two richest and most powerful nations, South Africa and  Nigeria, decided to punish Zimbabwe on Tuesday for a flawed  presidential vote.
20010914_22.24.21-23558-10	neutral	Interpol will meet in Budapest from September 24-29, where member countries will discuss methods of bringing those responsible for the attacks to justice, Espigares and Noble said.
temp_fbis_21.07.24-28603-8	negative	The "three nos" include no support for an independent Taiwan; no recognition of "two Chinas'' or one China and a separate Taiwan; and no support for Taiwan's entry into international organizations that require members to be states.
20020111_21.05.06-7601-9	neutral	Large-scale industry wishes to counter the expected rise with so-called benchmark covenants.
non_fbis_08.03.05-5625-42	neutral	Argentina, however, was determined to pay its debts in full and  keep its fixed currency in place, fulfilling what it viewed as a  promise to its citizens and creditors who had been told for  years that pesos were as good as dollars.
20011116_20.44.27-28756-34	neutral	The CDM Executive Committee will actually begin operating as soon as the Kyoto Protocol takes effect.
20020320_11.58.59-16532-9	positive	On public occasions Bush seems to show consideration for the US anti-China forces and pro-Taiwan faction and to even appease Taiwan separatists.
20020320_12.04.40-21590-11	neutral	In a preliminary, Motsuenyane declared the Zimbabwe poll "legitimate", adding they could, however, not be openly described as free and fair.
non_fbis_15.16.19-1897-8	neutral	Then, they will  examine the docking unit from within.
20020306_15.20.41-10497-7	negative	Kong also warned Washington against double standards in the global war against terrorism.
20020523_22.37.46-10374-3	neutral	In line with established  rules, the agency is processing the applications.
20020118_21.16.16-1134-1	neutral	A Foreign Office spokesman said: "I can confirm a team of British officials are in the process of visiting the detainees at Guantanamo Bay.
temp_fbis_21.20.14-9569-30	neutral	Therefore, it seems that the coup d'etat in Venezuela should be assessed as a plot that was hatched for that purpose.
20011130_12.26.48-19550-5	neutral	The statement comes two days after the British House of Commons passed emergency legislation allowing the detention of terrorist suspects without trial, and the killing of hundreds of Taliban inmates in a prison uprising in Mazar-i-Sharif in northern Afghanistan earlier this week.
non_fbis_06.48.28-6852-14	negative	This is most unfortunate.
20020115_21.11.08-11611-16	neutral	Under the convention, they must "be quartered under conditions as favourable as those for forces of the detaining power who are billeted in the same area."
non_fbis_06.44.52-19992-36	neutral	And he did what he routinely does when questioned about the way  the United States is prosecuting the war on terrorism: He  reminded critics of Sept. 11.
20011220_21.22.09-18839-22	neutral	Production by thermal and hydroelectric stations increased 3.6% and 11%, respectively.
20020109_21.17.18-25137-13	positive	The Chamber apparently wants to push ahead with the debate on euthanasia because available speaking time is very limited.
20020419_21.47.55-9546-14	neutral	The Pentagon spokesperson Clarke went a step further to explain that US Deputy Assistant Defense Secretary [Rogelio Pardo-] Maurer for Western Hemisphere Affairs met with Venezuelan Armed Forces Supreme Commander and Inspector General Lucas Rincon in December of last year and made it clear to the latter that the United ! States "supports democracy" and that "we in no way would support any coups or unconstitutional activity."
20020328_21.19.21-15525-0	neutral	Mbeki, Obasanjo envoys in fresh bid to save Mugabe
20020314_20.36.20-26562-3	positive	They explain that this agreement is an important step for the EU in fulfilling the political pledge to achieve ratification of the Protocol before the Johannesburg summit on sustainable development.
20020414_21.17.08-16542-1	negative	This carnage is planned and implemented in compliance with decisions from Israeli field marshals.
20010707_05.19.38-789-1	neutral	The two heads of state met under an canvas awning set up for the occasion a few hundred metres (yards) from the Gatuna border post, an AFP correspondent reported.
temp_fbis_21.24.00-10191-9	negative	A few kilograms of explosives, a simple detonating fuse, and a desperate hatred are the most important ingredients.
non_fbis_06.44.52-19992-101	neutral	Along the way, if allowed, the detainees would get to see  a bit of Americana, a portrait built over the past century.
20020315_20.21.54-4382-0	neutral	A detailed document has been issued after China's recent State of Council session [as published].
20020315_20.42.26-19148-22	negative	Foreign news agencies said Zuma told Zimbabwean state radio on his arrival in Harare on Thursday that "those discrediting Zimbabwe's electoral process should listen to what the Africans are saying".
non_fbis_08.27.54-12647-12	negative	However, Latin American leaders at a summit meeting in Costa  Rica criticized Mr. Chavez's ouster as an "interruption of the  constitutional order."
20011112_20.33.43-387-20	neutral	The gang fled with the car, and the victims took a tricycle home.
20020220_20.47.21-9712-0	negative	During the just-completed Japan-US summit between Prime Minister Junichiro Koizumi and US President George W. Bush, the primary topics discussed covered the actions to be taken against Iraq, Iran, and North Korea designated by the President as the "Axis of Evil," and a recovery of the Japanese economy from the standpoint of global economic stability, resulting in confirmation of Japan-US collaboration.
non_fbis_06.44.52-19992-135	neutral	Most of them sleep.
non_fbis_07.52.36-18982-35	negative	Although Washington continues to pay the rent - set 100 years  ago at 2,000 gold coins a year, and now worth about $4,000 - Mr  Castro refuses to cash the cheques.
non_fbis_06.25.38-22700-26	neutral	His role has a curious juxtaposition, which he sums up simply.
20011210_20.21.48-16389-26	negative	As Christiansen explains, 'if Venezuelans did not see unemployment as a problem that could be solved, they would not blame it on Chavez' incapacity.
20011130_21.37.57-3837-0	neutral	Kazakhstan's external trade turnover, not counting unregulated trade, reached 11,305,400,000 dollars in January-September 2001, up 14 per cent year on year, the Kazakh State Agency for Statistics has said.
20020403_20.59.27-22386-11	positive	Responding to the demands put forth in a memorandum by the residents of Chhanni Himmat, Narwal, Malik Marker Bye-Pass, Chhanni Bija, Chhanni Rama, Chhanni Kamala and Ambedkar Nagar, the Chief Minister said that he will get examined the issue regarding addition of 11th and 12th classes in the area.
non_fbis_11.14.49-23456-19	negative	Defense Secretary Donald H. Rumsfeld had particularly harsh  words for Iran Wednesday, saying it had been training terrorists  ``for a long time.''
20020403_21.25.24-12160-5	neutral	This accounts for roughly 40% of Iraq's total oil exports, he said.
20010829_01.48.48-11084-11	negative	Beijing was so worried about the tactic that Chinese Premier Zhu Rongji raised the matter in May with Thai leaders during his official visit to Thailand.
20020424_21.47.41-28228-20	negative	The Clinton era turns out to have been merely an interlude.
20020217_20.53.05-28623-11	neutral	Before leaving for Asia, Bush said he would discuss with Beijing trade issues arising from China's entry into the World Trade Organisation, the global war on terror and the fate of Taiwan.
20011206_21.18.24-28147-3	neutral	The Ministerial Police discovered that the "El Guero" Medina's gang operated from Matamoros and had branches in India, Brazil, Guatemala, Pakistan, Honduras, and El Salvador.
20020219_20.45.06-11781-14	positive	He explained a view aimed at solving the issue through diplomatic and other means for the time being.
non_fbis_10.12.58-29108-6	neutral	Where Mr. Goldin was a product of the US aerospace industry, Mr.  O'Keefe has served as chief financial officer for the Pentagon,  Navy secretary, and business-school professor.
non_fbis_12.22.23-26451-16	negative	The official election watchdog refuses to indicate the number of  ballots that will be issued, making it easier to stuff ballot  boxes, and has not said where the polling stations will be  located.
20020418_21.45.32-26215-6	negative	The latest round of violence was initiated on the day in September 2000 when Ariel Sharon took it upon himself to provoke his Muslim neighbors by visiting an Islamic religious building.
non_fbis_12.22.33-10622-19	neutral	There are two levels to the controversy around Kyoto.
non_fbis_12.46.57-22041-28	neutral	"The conditions my men live in are very similar to those of the  detainees," said Col Terry Carrico.
20011007_03.17.23-6711-28	neutral	Japan also has a huge space power plant plan.
non_fbis_12.15.47-5091-14	neutral	An anomaly was detected on one of its joints several weeks ago,  but the Canadian engineers successfully bypassed the problem  area.
20011113_20.27.12-885-22	negative	The Treasury Department, however, in spite of the good offices of its number two man, John Taylor, is still taking the cool approach towards Argentina that its head, Paul O'Neill, had adopted.
20020205_20.21.49-25548-8	neutral	For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States.
non_fbis_06.28.56-23638-5	negative	The report was seen as discrediting Lebanon by portraying the  country as being undemocratic or uncivilized and abusing human  rights, the source added.
20020415_21.31.55-5725-0	neutral	Two IDF soldiers were lightly wounded in gunfire exchanges near the Church of the Nativity in Bethlehem.
20020315_20.42.08-18791-49	negative	Australian observers said they feared violence if voters thought the election had been stolen.
non_fbis_04.33.07-17094-0	negative	Mugabe victory leaves West in tatters
temp_fbis_21.10.31-12974-132	neutral	What does this lead to?
20020122_20.36.01-11616-57	positive	The fight against terrorism is undoubtedly justified, but, as with every struggle, it also holds true that the fundamental principles of human rights and humanitarian law must be respected.
20020120_21.15.19-21938-15	neutral	As for the photographs of detainees published today, I have asked our officials in Guantanamo Bay to establish with the US the circumstances in which these photographs were taken."
non_fbis_04.22.14-2532-4	negative	The report also slammed US President George W. Bush's  administration for withdrawing from the Kyoto Protocol on  cutting greenhouse gases.
20010907_01.55.54-27027-2	negative	Russia had slowed the decision, which was expected to have been announced a week before, raising concerns about their mandate in contrast with that of the NATO mission to collect weapons from ethnic Albanian rebels.
20020418_21.45.32-26215-17	neutral	Maybe Joschka Fischer's plan for suspending Germany's military aid for Israel, that is, possible EU economic sanctions against Tel Aviv is honorable, but it is a late and disturbingly long-term plan.
20011123_20.59.38-14856-3	neutral	DNA strands exist in almost every body cell -- they are biological software that tell each cell and molecule what to do.
non_fbis_09.53.15-23595-31	negative	But there's  also a feeling of uncertainty about how the country's obvious  problems are going to be solved," said Ms Ledesma.
20010620_13.40.05-15087-3	neutral	Saeed said indications were that those tests would be negative too.
non_fbis_05.22.13-11526-16	negative	African leaders closed ranks at the Commonwealth summit out of  fear for their own power, he said.
20020207_20.22.42-14586-34	neutral	[Caracas El Nacional (Internet version) in Spanish on 7 February carries a related 760-word item that says that some opposition deputies agreed that the government's tactless actions are to blame for the concerns voiced by US Foreign Secretary Colin Powell.
non_fbis_14.06.39-26143-7	neutral	"But that doesn't necessarily  make them inhumane.
20020204_20.22.56-6451-8	negative	Islamabad's silence does not set a healthy precedent.
non_fbis_11.08.55-4179-10	neutral	The prisoners from Afghanistan are not expected to arrive for  weeks, and Rumsfeld said there are no plans to stage military  tribunals or trials at the base, which is home to about 1,100  members of the Navy and Marine Corps.
20011218_21.00.30-21204-25	negative	Yet, over the past ten years, it has done everything it can to be considered one of the IMF's good pupils.
non_fbis_12.03.26-29353-32	neutral	Is it any wonder that the shekel's  value is decreasing daily?
20020212_20.42.04-19290-46	neutral	Some specialists felt that the peso's appreciation against the dollar triggered a wave of selling on the stock market as the share prices set in accordance with a higher exchange rate than the one now drooped.
non_fbis_12.19.35-18077-12	negative	He was referring to Mr. Blair's condemnation of Mr. Mugabe, who  accuses him in turn of interfering in Britain's former colony to  engineer an opposition victory.
20020115_21.09.21-9865-4	negative	Turover accused Mme.
20020322_21.03.06-12522-11	neutral	Arms were confiscated from him, the spokesman said.
20011220_21.22.09-18839-56	neutral	This cost included the cost of servicing the foreign debt, which amounted to Hr1.7 billion (1.2% of GDP), or 4.6% of total expenditures.
20011029_20.28.17-28408-0	neutral	ISLAMABAD, Oct 29 (AFP) - The Taliban on Monday said an unspecified number of Americans had been arrested in Afghanistan.
20020212_20.42.04-19290-36	neutral	Unauthorized street traders flourished, expecting to make a killing.
non_fbis_08.54.02-18235-29	neutral	Yesterday, a Canadian team paraded a mockup a  60-foot-long "Canadian Arrow" through the streets of Manhattan  in a pitch coinciding with Mr. Shuttleworth's launch.
non_fbis_08.46.28-13637-5	negative	"The military operates on one  principle," explains a savvy veteran: "Hurry up and wait."
temp_fbis_21.31.45-20536-12	neutral	Many had disappeared without trace.
non_fbis_08.39.09-12713-9	neutral	Many arrived at overburdened polling stations in the  early hours of the morning and waited in the hot sun for the  entire day without food.
20020224_20.56.08-8888-34	neutral	Even German foreign policy, however late, has come to its senses.
20020314_20.23.54-19638-20	negative	Washington is even more troubled by the attitude of Western nations and allies toward the United States.
20020209_20.27.35-29256-15	negative	An international tribunal consisting of experts on international law should decide on this issue, not Mr. Bush whose knowledge of international law leaves plenty to be desired.
non_fbis_11.30.45-27115-28	negative	``I think it was a serious offer,'' he said of the overture,  which some in Miami scorned as a publicity stunt.
20020205_20.41.01-8736-5	negative	She said that the principle Bush currently uses in handling foreign affairs has caused the international community to think that the United States is doing things "in an utterly disorderly way" and has "lost reason".
20011024_18.09.35-13708-22	neutral	These arms can in turn be re-sold by those other countries," said Sautier, adding that there was also the possibility of illegal arms trafficking outside the authority of the French government.
non_fbis_08.21.04-13527-10	positive	In Monday's summit talks, Bush and Koizumi agreed to cooperate  together with other countries, including developing nations, on  the issue of global warming.
20020109_14.06.40-17312-0	neutral	A container from the Swedish nuclear technology firm Studsvik has leaked radioactive materials.
20020207_20.23.04-14788-8	neutral	"He was defeated by the institutional Armed Forces, judged and retired (he had to be expelled) with dishonor from these, and the president, Doctor Rafael Caldera, dismissed his trial.
non_fbis_06.35.13-26224-25	neutral	Whatever decision Bush  makes, a defense official said, the Pacific Command is ready "to  respond to any potential crisis, including the use of force  against Taiwan by China."
20020312_21.27.48-10130-21	neutral	"A few years ago, these reports were shocking: It was only from such documents that many heard for the first time about issues such as domestic abuse or honour crimes in Jordan," said Kilani, who is also the Jordan representative of Transparency International.
20020131_20.50.32-16604-5	neutral	In other words, he admitted he had been wrong -- and that at time when opinion polls in the United States are, without exception, very favorable to him.
20010916_21.24.32-9824-5	neutral	"The ship had been about 26 miles (42 kilometres) away from Point Pedro when the attack started," Karunaratne said.
20010831_23.55.20-21157-2	neutral	According to reports received from family members in Rumonge [southwestern Burundi], the fishermen were freed by their kidnappers, the FDD-FNL [Forces for the Defence of Democracy-National Liberation Forces] rebels, who had confused the fishermen's boat to be that of the Burundi army.
non_fbis_09.11.12-16761-22	negative	In another controversial move, the US Defence Department said on  Wednesday it would take part in a closed-door conference next  month that private organisers call a "defence summit" with  Taiwan, an event which would typically anger China.
20020328_21.19.21-15525-10	positive	ZANU PF however wants the MDC to accept the result of the presidential election and join it in a coalition government whose composition is not yet clear.
20020419_21.31.07-25924-1	positive	Flores said, in a press conference, that "there is no reason to apologize" to President Chavez, as demanded by Salvadoran opposition parties.
20020124_20.32.14-18152-2	negative	However, the situation has changed fundamentally since the batches of Al-Qa'ida and Taliban prisoners started arriving one after the other to Guatanamo base shackled and caged in cages that are no longer than eight feet and wider than six.
temp_fbis_20.34.33-18786-10	neutral	The climate changes will be different from region to region.
non_fbis_07.52.36-18982-6	positive	Washington wants military tribunals to try the prisoners, and  the cases are expected to be heard outside the US.
20010906_12.55.04-23296-45	neutral	"Certain excesses at EU meetings and, above all, at 'summits,' the so-called 'high masses,' sometimes call for a reaction.
20011029_20.27.05-27044-11	neutral	He was promoted to the rank of Lt. General on 28 October 1998, following which he was made the Corps Commander of Lahore.
20020304_20.50.30-97-22	positive	The Commissioner finally welcomed indications by Japan, New Zealand and Norway that they are preparing for ratification, and strongly called on others, notably Russia, to do the same.
20020508_21.58.34-17613-7	negative	Reacting to the threats launched by the US president George W. Bush against Iran he condemned the United States expansionist policies.
non_fbis_12.46.57-22041-2	neutral	Before dawn, the prison camp echoes to the voice of the muezzin  as the Muslim inmates are called to prayer.
temp_fbis_21.10.31-12974-24	positive	In addition to the suggestion from the sixth continent, it is a good idea to recall the Great Flood, which has been depicted, apart from the Bible, in many of the world's mythologies: "What was it?
non_fbis_07.20.20-11694-11	negative	The United States, condemning the reduction of polling stations  in opposition urban strongholds, said the election was  "seriously flawed" and riddled with irregularities.
temp_fbis_20.55.24-19278-13	neutral	This can hardly be described as ambitious as a 15 percent increase in energy efficiency was in any event expected given present productivity levels.
20011220_21.22.09-18839-4	neutral	INDUSTRY
20020315_20.42.08-18791-51	positive	Nigeria, South Africa and Australia were mandated by the Commonwealth to report on the poll after the 54-nation group failed to agree to suspend Zimbabwe at its summit last month.
20020213_21.05.30-9608-3	neutral	The statement did not indicate the exact number of the freed fishermen but an official of the company said they were originally 11 in number.
20010907_00.16.28-8800-8	negative	American delegates at the conference maintained that any restriction or ban on the sale, possession, and carrying of light armaments was practically the same as limiting the freedom of action [as published] of American citizens, and equal to reducing their margin of security.
non_fbis_08.12.40-1611-3	neutral	Bush suspended U.S. entry privileges for Mugabe, his family or  senior members of his government.
20010906_12.55.04-23296-20	positive	"It is reassuring to believe that the Tobin tax [on speculative capital movements] will stimulate development, but there is more to it.
20020411_22.23.02-12197-0	neutral	The European Parliament, which convened yesterday in Strasbourg, decided to advise the 15 member states of the European Union to impose economic sanctions on Israel and, specifically, to suspend association agreements with Jerusalem.
20011014_22.00.23-1236-0	neutral	Belgian premier says EU leaders will discuss American strikes at summit
temp_fbis_21.20.14-9569-3	neutral	Venezuela is one of the largest oil producers and exporters in the world.
non_fbis_15.12.22-6729-9	neutral	It will be launched into space for scientific purposes.
temp_fbis_21.10.31-12974-136	neutral	Because, strange as it may seem, prolonged, stagnant cold spells are also a result of global warming when there is less ventilation of the atmosphere as a whole.
non_fbis_14.06.39-26143-26	negative	With some effort, he pins the flailing child down on  the changing table only to discover there are no diapers in the  house.
20020418_21.37.20-19607-2	negative	They have also announced that President Yasir Arafat is no longer fit for the coming phase.
non_fbis_06.44.52-19992-78	neutral	A  German shepherd and his handler patrol the camp's perimeter.
non_fbis_15.16.19-1897-14	neutral	There has already been a similar incident in space.
20020322_21.05.41-14545-57	positive	Various options have been discussed, but the better way forward is to confront the Mugabe regime with the constitutional question.
non_fbis_08.46.28-13637-15	neutral	As we  sit watching CNN, an unfounded rumor gains currency.
20020315_20.42.08-18791-27	positive	Kenyan President Daniel arap Moi congratulated President Mugabe, saying his victory was "testimony of the confidence and high esteem the people of Zimbabwe hold you in".
20020206_20.31.05-16359-10	negative	The US administration has already decided to "punish" any country it believes poses a danger to the Hebrew State.
20011208_20.31.54-28680-8	neutral	At one time, he said the new US missile defense system would not pose a threat to the international security and would not trigger an arms race; on another occasion, he stated the Anti-Ballistic Missile Treaty signed by the Soviet Union and the United States in 1972 was "a product of the Cold War era," and thus has lost its binding force.
non_fbis_04.24.14-26782-9	neutral	It also stated developed countries would  give financial and technical support to those countries  vulnerable to climate change, such as island nations, and  alleviate the global warming's impact by introducing devices  such as satellite observation systems to monitor rising sea  levels.
20020415_21.33.22-7140-6	neutral	Turkey and Greece have the opportunity of cooperating in tourism.``
non_fbis_06.44.52-19992-124	neutral	The staff gives reporters a quick tour of the hospital, allowing  photographs of some sections but not of the patients.
20020201_20.41.37-18755-3	negative	Bush specifically named North Korea, Iran, and Iraq, countries that were formerly referred to as pariah and evil nations.
temp_fbis_20.46.58-22510-1	neutral	The U.S. State Department on Monday published its annual report on the status of human rights in other countries in the year 2001.
20020418_21.45.32-26215-7	negative	Sharon, who used to be a colonel and who is directly responsible for the massacre in the Beirut camps Sabra and Shatila, used his return to power as an opportunity to settle the accounts with his years-long enemies.
20020201_20.45.53-22539-38	negative	Los Angeles Federal Judge Howard Maz has given the government until 31 January to submit a memorandum in its defense against the charges being leveled at it by the human rights associations.
20020124_20.24.37-12857-4	negative	It is also continuing its bombings in Afghanistan although there is an interim government in place there now.
20011209_20.32.39-1919-10	negative	This does not serve the interest of peace and the security of the peoples of the region in the long run.
20020318_20.48.00-11907-25	neutral	The panel was scheduled to meet in London on Tuesday.
20010829_01.48.48-11084-12	negative	He said the number of Thai politicians visiting Taiwan, especially members of Parliament, was increasing at an "unusual" rate.
20011112_20.33.43-387-29	negative	There is a strong perception in the diplomatic community that the abduction was a fake kidnap-for- ransom and was a political act to demonstrate the administration's incapacity to put crime under control.
non_fbis_08.05.55-10723-5	negative	It was prompted by a rising tide of international  criticism after the Defense Department released photographs over  the weekend that showed some of the prisoners kneeling before  their captors, their legs in shackles, their hands bound in  manacles, their mouths covered by surgical masks and their eyes  blinded by large goggles with black tape.
20020315_20.42.17-18974-17	positive	We will leave Zimbabwe with a sense of accomplishment after observing the election," he told reporters after meeting Cde Mugabe.
non_fbis_12.07.16-6586-21	neutral	Rodriguez Saa is reportedly considering easing banking  restrictions imposed by De la Rua, limiting to $1,000 the amount  of money Argentines can withdraw from their accounts.
20011210_20.21.48-16389-15	negative	According to Datanalisis' November poll, 57.4 percent of those polled feel as bad or worse than in the past and 55.3 percent believe their main problems are in the economic area.
non_fbis_10.35.30-7542-7	negative	Military tensions in the Taiwan Strait were "not in the  self-interests of the United States," she warned.
non_fbis_11.08.55-4179-7	neutral	Because the base is not on U.S. soil, people detained there are  not entitled to American residency and eventual citizenship  privileges.
20020111_21.05.06-7601-41	neutral	By using the benchmark covenants to allocate emission rights initially, the good points of covenants are retained and their drawbacks are eliminated.
20020425_21.40.05-5224-10	neutral	Oddly enough, the peoples that US officials like to speak for are the same ones that suffer from unfair US policies, not to mention that those peoples never gave US politicians the right to speak for them.
20020206_20.31.05-16359-9	negative	The current US administration will consult with no one, not even its closest allies, whether in Europe or its followers in the Third World, particularly in the Arab world.
20011218_21.00.22-21144-36	neutral	But in the future?
20020128_20.46.06-8042-14	neutral	The leader of the Taiwanese authorities once made the commitment of the so-called "four noes and one will not" when he took office in May 2000.
non_fbis_11.08.55-4179-34	neutral	``We don't anticipate any trouble with Mr. Castro,'' he said.
20010907_00.16.28-8800-2	negative	The first was that large and numerous bodies of dissidents were opposing the wishes and interests of a small but powerful group.
20011211_20.59.09-4817-1	neutral	Tsai made the remarks during a meeting with a delegation of the "Committee of 100," a New York-based non-partisan association of ethnic Chinese celebrities.
20020218_20.45.17-5753-25	neutral	"Even if Iraq possessed such weapons, it could not threaten the United States.
20020207_20.23.00-14747-7	positive	Our position is clear, we support no Latin American guerrilla group, much less the Colombian guerrilla groups, and what we want is for peace to prevail in that country."
temp_fbis_21.10.31-12974-36	positive	On the contrary, they found solidarity in the view that it is impossible to explain everything with models.
20011114_20.42.07-7434-12	neutral	According to the source, "A key man is the finance secretary: he must specify the government's fiscal margin."
20020315_20.42.26-19148-9	neutral	Mbeki, Obasanjo and Howard were mandated at the recent Commonwealth Heads of Government Meeting in Australia, to decide on Zimbabwe's fate once the Commonwealth observers mission submitted its report on the presidential election.
20011201_21.19.03-816-2	positive	The highway to the stars is looking radiant for the Belgian "cosmonaut."
20020425_21.45.53-9610-10	negative	Fear of Grim Years
20010715_00.31.31-4544-10	negative	The Lusaka accord merely speaks about "political opposition", he said.
non_fbis_11.08.55-4179-22	neutral	``It will be a little bit of a different  situation but a lot of the basic stuff is the same.''
non_fbis_08.54.02-18235-23	neutral	The result, he continues, was the KC-135,  known commercially as the Boeing 707, the first commercial jet  to be used worldwide.
20011107_16.15.23-10154-5	negative	The country has been on edge since last May when mutinous soldiers attempted to overthrow Patasse, unleashing 10 days of fighting in the capital that left dozens of people dead and displaced thousands.
non_fbis_08.47.00-17401-10	neutral	US analysts looking east say that as  Japan's economic dominance in Asia diminishes, so will the  importance of the US-Japan relationship as a whole.
temp_fbis_21.10.31-12974-97	positive	They are relatively mild for our country.
non_fbis_08.27.54-12647-0	neutral	Venezuela's Chief Forced to Resign; Civilian Installed
temp_fbis_21.37.33-17834-1	neutral	Chen made the remarks while meeting visiting U.S. Assistant Secretary of Commerce for Market Access and Compliance William H. Lash, III at the Presidential Office Wednesday.
20020124_20.45.56-235-5	neutral	Predictably, their advice has fallen on stones because, whatever their suggestions, Mugabe could not care less, interested only in retaining power at any cost.
20020320_12.03.37-20669-23	negative	But at a summit in Australia earlier this month ahead of the election, Commonwealth leaders postponed action against Harare over its defiant stance on the presence of certain international observers to monitor the voting.
20020125_20.18.05-14490-6	neutral	US President George W. Bush has rejected charges of ill-treatment and was satisfied the military was upholding US traditions of humane treatment of prisoners while protecting the troops guarding them.
20011210_20.40.44-4958-2	neutral	Saudi businesses today are looking into software applications that will help them retain their clients, expand their market reach and cut down of their operating costs, Dr Al-Amri said in a press statement issued Sunday to the Gazette.
non_fbis_16.01.33-12919-39	neutral	Therefore, the "Chinese Gagarin" will probably say "Go!" no  later than 2005.
