Corpus;TextID;Length;Words;Expected Sentiment;AlchemyApi;Lymbix;MLAnalyzer;Repustate;Semantria;Sentigem;Skytle;Textalytics;Textprocessing
1;3171613;102;19;OTHER;POSITIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;1009692;126;21;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE
1;2252912;111;23;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
1;3171600;66;10;OTHER;POSITIVE;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER
1;2587558;107;17;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER
1;1181090;123;19;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE
1;2863090;73;11;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1988622;128;21;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER
1;504987;74;11;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE
1;2863099;47;6;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3362923;138;27;NEGATIVE;POSITIVE;OTHER;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;OTHER;OTHER;NEGATIVE
1;684966;104;16;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE
1;451398;28;3;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE
1;1057678;98;17;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
1;474426;45;7;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER
1;2863068;90;13;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2863070;60;10;OTHER;OTHER;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;POSITIVE;OTHER
1;2097889;98;16;OTHER;NEGATIVE;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;POSITIVE
1;2618244;61;9;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;3276338;94;15;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;1743947;138;20;NEGATIVE;NEGATIVE;OTHER;POSITIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;NEGATIVE
1;3276348;94;15;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;2618252;35;5;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE
1;1370086;86;14;OTHER;NEGATIVE;OTHER;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;NEGATIVE
1;87750;47;8;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;POSITIVE
1;2479512;54;11;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE
1;1724699;61;12;OTHER;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;1421368;47;7;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;POSITIVE
1;520603;129;26;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE
1;3276329;94;15;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;2050765;60;8;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER
1;563466;143;24;POSITIVE;POSITIVE;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;3518981;61;11;OTHER;OTHER;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER
1;2448422;135;18;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER
1;1408325;83;11;OTHER;POSITIVE;NEGATIVE;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;POSITIVE
1;1074847;50;8;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;1681781;73;13;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;625180;131;18;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2618297;73;9;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;POSITIVE
1;1196283;53;8;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE;OTHER
1;3397758;62;9;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;OTHER;POSITIVE;OTHER;POSITIVE;OTHER
1;902777;100;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902776;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1709454;148;27;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;2081553;68;11;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER
1;175828;105;16;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;OTHER;OTHER;NEGATIVE;POSITIVE;OTHER;NEGATIVE
1;2149914;66;9;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER
1;3276415;94;15;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;1545844;146;29;OTHER;NEGATIVE;OTHER;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;NEGATIVE
1;1586067;149;23;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;NEGATIVE;NEGATIVE
1;3276389;94;15;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;902766;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1603409;71;14;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;745781;150;25;NEGATIVE;NEGATIVE;OTHER;POSITIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER
1;2132685;34;6;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER
1;1664093;99;16;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE
1;2035319;135;24;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER
1;3276368;98;16;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;3276374;100;15;OTHER;NEGATIVE;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER
1;1603427;104;15;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER
1;2547942;132;22;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;590799;38;5;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3276383;94;15;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;2342892;98;14;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;null;OTHER
1;364;127;23;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;NEGATIVE;OTHER;POSITIVE
1;810181;98;16;OTHER;POSITIVE;NEGATIVE;POSITIVE;OTHER;NEGATIVE;POSITIVE;NEGATIVE;OTHER;NEGATIVE
1;70255;37;4;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;994810;74;14;OTHER;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER
1;2618124;101;15;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER
1;902834;95;13;OTHER;OTHER;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;1491299;73;10;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;902841;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;334421;71;11;OTHER;POSITIVE;OTHER;POSITIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;260546;79;11;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;POSITIVE
1;902816;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;105222;51;9;OTHER;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;474194;124;20;OTHER;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER
1;1352637;131;24;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902827;100;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902826;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2066181;42;6;OTHER;OTHER;OTHER;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;OTHER
1;1709413;96;15;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER
1;902801;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;608200;42;10;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER;NEGATIVE
1;730379;110;21;POSITIVE;NEGATIVE;POSITIVE;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER
1;1092435;51;7;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;902791;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;351925;51;9;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;34857;44;7;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
1;1850282;50;8;OTHER;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;NEGATIVE
1;2587342;104;20;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;OTHER;OTHER;POSITIVE
1;902907;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;474118;46;7;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;474114;46;7;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;902881;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1421558;60;7;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902893;100;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2951596;109;16;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902892;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2081727;48;6;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER
1;2951570;109;18;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902868;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902869;100;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2253114;82;12;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER
1;792735;90;12;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;1074771;115;14;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;2132588;69;8;OTHER;NEGATIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902849;100;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;902848;105;14;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;435896;116;17;OTHER;POSITIVE;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE
1;590686;109;23;NEGATIVE;NEGATIVE;OTHER;OTHER;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;NEGATIVE
1;2571834;59;10;OTHER;POSITIVE;OTHER;NEGATIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;2828125;91;17;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;POSITIVE;POSITIVE;OTHER;NEGATIVE
1;902861;113;17;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2571760;85;15;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER;NEGATIVE
1;1602623;88;13;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;3030857;54;8;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;475113;60;10;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;OTHER;NEGATIVE;OTHER
1;2322931;77;11;OTHER;NEGATIVE;OTHER;OTHER;POSITIVE;NEGATIVE;OTHER;NEGATIVE;OTHER;OTHER
1;684410;21;2;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2431958;92;15;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;POSITIVE;OTHER
1;2167571;37;3;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206710;104;18;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;3206711;105;19;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;3206718;120;25;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;3206712;122;27;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;3206713;107;24;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER;POSITIVE;OTHER;NEGATIVE
1;2237973;40;6;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;NEGATIVE
1;1725052;80;11;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER
1;3206721;124;20;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE
1;2548725;41;3;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;OTHER;NEGATIVE
1;2050469;125;14;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER
1;1476178;45;8;OTHER;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;OTHER;OTHER;POSITIVE;POSITIVE;OTHER
1;3206725;90;15;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206730;83;13;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206729;133;18;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206733;133;18;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3293634;91;15;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE
1;1529861;104;19;OTHER;POSITIVE;POSITIVE;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206742;50;8;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;155835;35;7;POSITIVE;OTHER;POSITIVE;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;OTHER
1;3206746;145;19;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206744;133;18;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206745;121;21;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206751;122;22;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;3206748;144;18;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER;OTHER
1;2571665;68;8;OTHER;OTHER;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER;NEGATIVE
1;2392351;70;9;OTHER;POSITIVE;OTHER;NEGATIVE;POSITIVE;NEGATIVE;OTHER;NEGATIVE;OTHER;NEGATIVE
1;190727;61;10;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE
1;3172331;100;15;OTHER;POSITIVE;POSITIVE;OTHER;NEGATIVE;OTHER;OTHER;OTHER;OTHER;OTHER
1;3172332;117;21;OTHER;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;OTHER;NEGATIVE
1;3091506;76;12;OTHER;POSITIVE;OTHER;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE
1;2571657;75;14;POSITIVE;POSITIVE;POSITIVE;POSITIVE;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER
1;1422182;32;5;POSITIVE;NEGATIVE;POSITIVE;OTHER;OTHER;NEGATIVE;NEGATIVE;POSITIVE;OTHER;POSITIVE
1;902513;123;23;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;OTHER;NEGATIVE
1;1911712;40;7;OTHER;OTHER;OTHER;POSITIVE;POSITIVE;OTHER;OTHER;OTHER;OTHER;NEGATIVE
1;2065451;112;20;OTHER;POSITIVE;OTHER;OTHER;POSITIVE;OTHER;OTHER;OTHER;OTHER;OTHER
