IDOfClassifiersUsed	nrOfClassifiersUsed	dev	test.Twitter2014	test.Twitter2014Sarcasm	test.Twitter2013	test.SMS2013	test.LiveJournal2014
"8,11"	2	0.5594819	0.5467982	0.4635294	0.5669975	0.519883	0.5469034
"8,12"	2	0.5443251	0.5258429	0.4493088	0.5442187	0.4970548	0.5504484
"8,9"	2	0.5886789	0.6127559	0.4389047	0.5840435	0.5385586	0.5875331
"9,10"	2	0.5551686	0.6016689	0.4434366	0.5719388	0.5194308	0.5795485
"9,11"	2	0.5654299	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"9,12"	2	0.5599316	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"1,10,11"	3	NaN	NA	NA	NA	NA	NA
"1,10,12"	3	0.4775637	0.571705	0.343577	0.5470021	0.537164	0.6327239
"1,11,12"	3	0.5127593	0.5695793	0.2859482	0.5527492	0.5342956	0.6106501
"1,2,10"	3	NaN	NA	NA	NA	NA	NA
"1,2,11"	3	NaN	NA	NA	NA	NA	NA
"1,2,12"	3	0.4011759	0.3948752	NaN	0.4113458	0.3644272	0.4154263
"1,2,3"	3	0.3969693	0.3732783	0.3177236	0.364002	0.3216922	0.361417
"1,2,4"	3	0.5417159	0.6017973	0.4406308	0.5960886	0.5649405	0.6493854
"1,2,5"	3	0.5332955	0.560826	0.4285714	0.5353709	0.5194661	0.604548
"1,2,6"	3	0.4597635	0.5323222	0.3383333	0.47484	0.4360105	0.5824234
"1,2,7"	3	NaN	NA	NA	NA	NA	NA
"1,2,8"	3	0.4130494	0.4777519	0.3653522	0.4766032	0.4226379	0.5130481
"1,2,9"	3	0.5579039	0.5627876	0.3877488	0.545657	0.5187664	0.5410279
"1,3,10"	3	0.4865976	0.5296044	0.3894166	0.521525	0.4829659	0.5593383
"1,3,11"	3	0.5026043	0.541774	0.2705441	0.5183172	0.478118	0.5282152
"1,3,12"	3	0.5135593	0.5302407	NaN	0.5441098	0.4928414	0.5582564
"1,3,4"	3	0.6238728	0.6366157	0.4450296	0.6264645	0.5785818	0.6745585
"1,3,5"	3	0.6064403	0.6255709	0.4223529	0.6013172	0.5538735	0.6515005
"1,3,6"	3	0.4846716	0.5166975	0.339845	0.4997756	0.4095361	0.5285454
"1,3,7"	3	0.4889606	0.5330728	0.3598485	0.533693	0.4814103	0.5568863
"1,3,8"	3	0.5523031	0.5360625	0.4294599	0.5530196	0.509222	0.5852207
"1,3,9"	3	0.5573662	0.5459285	0.3920973	0.5348137	0.498051	0.5504263
"1,4,10"	3	0.5244006	0.6093782	0.4335601	0.5864765	0.5983602	0.6889942
"1,4,11"	3	0.6235542	0.6546692	0.4714695	0.6561208	0.6182755	0.7055795
"1,4,12"	3	0.606638	0.6505282	0.4085145	0.6556566	0.6134068	0.7082155
"1,4,5"	3	0.6085063	0.6274548	0.4569444	0.6076172	0.6076635	0.6788938
"1,4,6"	3	0.6306797	0.6382134	0.411859	0.6402699	0.5929011	0.6822813
"1,4,7"	3	0.5662301	0.6110465	0.4743764	0.624934	0.5927531	0.6720432
"1,4,8"	3	0.6075391	0.65432	0.4293478	0.6472913	0.5993731	0.6845746
"1,4,9"	3	0.6400259	0.6726177	0.486087	0.6611674	0.5922475	0.693109
"1,5,10"	3	0.6012868	0.6246418	0.4015187	0.6015822	0.5602553	0.6464312
"1,5,11"	3	0.6006915	0.628164	0.3724593	0.5923994	0.5648825	0.6475139
"1,5,12"	3	0.5889668	0.6137365	0.3256127	0.5933423	0.5765302	0.662096
"1,5,6"	3	0.5968177	0.6283426	0.3832364	0.5979873	0.555444	0.6473214
"1,5,7"	3	0.6016322	0.6261005	0.4081633	0.5981115	0.5560767	0.6378066
"1,5,8"	3	0.588084	0.6308032	0.4223529	0.6037039	0.5619003	0.6449356
"1,5,9"	3	0.6298056	0.6760177	0.4057143	0.6339899	0.5537131	0.6567168
"1,6,10"	3	0.4642532	0.5053088	0.4258274	0.467704	0.4643271	0.5855339
"1,6,11"	3	0.4464385	0.517471	0.3371212	0.4572123	0.4393796	0.5710257
"1,6,12"	3	0.4942755	0.5697315	0.4021084	0.5557332	0.4854267	0.6252411
"1,6,7"	3	0.4572146	0.5070565	0.2966339	0.4496984	0.4171288	0.588489
"1,6,8"	3	0.4817179	0.50327	0.442029	0.4862158	0.443355	0.5208333
"1,6,9"	3	0.5682174	0.5798467	0.4002268	0.5531707	0.5160704	0.5717608
"1,7,10"	3	NaN	NA	NA	NA	NA	NA
"1,7,11"	3	0.2572018	NA	NA	NA	NA	NA
"1,7,12"	3	0.5255064	0.5483962	0.2981998	0.5873964	0.5030525	0.6171842
"1,7,8"	3	0.5152001	0.5081854	0.4104859	0.5275133	0.4702983	0.5445717
"1,7,9"	3	0.5679562	0.5605222	0.3877488	0.5413986	0.5085872	0.5468131
"1,8,10"	3	0.5444952	0.5312482	0.4744048	0.5490656	0.5096459	0.5629098
"1,8,11"	3	0.5114754	0.5150747	0.3711485	0.5066451	0.4981359	0.5086014
"1,8,12"	3	0.5246138	0.5327988	0.3542039	0.549408	0.497307	0.5397258
"1,8,9"	3	0.5899833	0.6145485	0.45	0.5835409	0.5378186	0.5743284
"1,9,10"	3	0.5639	0.5695955	0.4066901	0.5507504	0.5201214	0.5711171
"1,9,11"	3	0.5608463	0.5627876	0.4060311	0.5467252	0.5203701	0.546061
"1,9,12"	3	0.5662636	0.5723497	0.3841608	0.5559432	0.5273171	0.58
"10,11,12"	3	0.5130939	0.5715964	0.3217029	0.5582859	0.551585	0.6059173
"2,10,11"	3	0.2838595	NA	NA	NA	NA	NA
"2,10,12"	3	0.4527632	0.4481178	0.2771429	0.4700175	0.4360331	0.4703555
"2,11,12"	3	0.4763599	0.5790397	0.3149351	0.5657349	0.5522186	0.6083427
"2,3,10"	3	0.4936019	0.5441479	0.3766234	0.509406	0.4828117	0.5415632
"2,3,11"	3	0.4979767	0.5468966	0.3112175	0.5318442	0.4867049	0.5333191
"2,3,12"	3	0.5307124	0.538783	0.3075933	0.5562777	0.5093299	0.562045
"2,3,4"	3	0.6090309	0.6495807	0.472028	0.6395942	0.6096789	0.6908336
"2,3,5"	3	0.5952153	0.621201	0.4457143	0.5954716	0.5541349	0.639485
"2,3,6"	3	0.4769118	0.4986719	0.3015873	0.4918164	0.4081887	0.5199808
"2,3,7"	3	0.4936537	0.5421012	0.3861862	0.5473424	0.4981651	0.5558264
"2,3,8"	3	0.4899725	0.4936132	0.4538462	0.5169683	0.4717586	0.5208961
"2,3,9"	3	0.5513793	0.553957	0.3980496	0.5414896	0.4963668	0.5300507
"2,4,10"	3	0.6173284	0.6401954	0.448366	0.6425248	0.61981	0.7050543
"2,4,11"	3	0.6307226	0.6550394	0.4679739	0.6549656	0.6197718	0.6986202
"2,4,12"	3	0.6028597	0.6270632	0.4581818	0.6354056	0.5952148	0.6591069
"2,4,5"	3	0.6124873	0.6181228	0.4387707	0.6061362	0.6011134	0.6687671
"2,4,6"	3	0.6043272	0.6362857	0.4301413	0.6433913	0.6045077	0.6775066
"2,4,7"	3	0.6101908	0.649963	0.472028	0.6457893	0.6079784	0.6860831
"2,4,8"	3	0.5883086	0.5988838	0.3710145	0.6044667	0.571861	0.6292274
"2,4,9"	3	0.5977013	0.6222348	0.4034956	0.6045666	0.5430338	0.5953081
"2,5,10"	3	0.5975772	0.6237682	0.4541176	0.6021556	0.561717	0.6482984
"2,5,11"	3	0.5950563	0.6285077	0.4285714	0.602344	0.5627206	0.6495209
"2,5,12"	3	0.585847	0.60531	0.4081633	0.5874797	0.5785621	0.6369797
"2,5,6"	3	0.6129066	0.6231198	0.4223529	0.602971	0.5606715	0.6357584
"2,5,7"	3	0.603168	0.5901957	0.4176829	0.5835269	0.5455431	0.6298033
"2,5,8"	3	0.5809024	0.6132793	0.4391534	0.5889112	0.5596096	0.6322559
"2,5,9"	3	0.6235298	0.6792472	0.4708995	0.6383444	0.5676899	0.6564591
"2,6,10"	3	0.4816333	0.5261018	0.3739886	0.4816442	0.4541739	0.5685852
"2,6,11"	3	0.4571729	0.5208075	0.309508	0.4558563	0.4359949	0.5492544
"2,6,12"	3	0.4911553	0.5408893	0.3452903	0.5383876	0.4711119	0.5718451
"2,6,7"	3	0.456249	0.5006247	0.3012422	0.4682233	0.4151219	0.5531835
"2,6,8"	3	0.5063452	0.4956391	0.406401	0.493489	0.4366081	0.5185575
"2,6,9"	3	0.5614687	0.5569379	0.389881	0.54041	0.501337	0.5294762
"2,7,10"	3	NaN	NA	NA	NA	NA	NA
"2,7,11"	3	0.2649508	NA	NA	NA	NA	NA
"2,7,12"	3	0.4086507	0.3804675	NA	0.3943101	0.3427984	0.3913236
"2,7,8"	3	0.5179319	0.5157812	0.4435294	0.5325208	0.481379	0.5528353
"2,7,9"	3	0.5433676	0.5402757	0.3857947	0.5338719	0.500313	0.5382849
"2,8,10"	3	0.5097418	0.5314391	0.4388406	0.5423049	0.5125388	0.5595941
"2,8,11"	3	0.5372272	0.537935	0.4557823	0.5492546	0.5203541	0.5375407
"2,8,12"	3	0.5297697	0.5301533	0.3531469	0.5571187	0.5088017	0.5436676
"2,8,9"	3	0.5757855	0.6125606	0.45	0.5836812	0.537387	0.5789956
"2,9,10"	3	0.5573469	0.5601235	0.406383	0.5513239	0.5145424	0.5431406
"2,9,11"	3	0.5674953	0.5575398	0.4060311	0.5431633	0.5177006	0.5373172
"2,9,12"	3	0.5534273	0.5542092	0.3565217	0.5542286	0.5327856	0.5592203
"3,10,11"	3	0.4905779	0.5350403	0.294996	0.5134813	0.4838466	0.5124421
"3,10,12"	3	0.5189138	0.5456573	0.3242894	0.5538485	0.5015213	0.5655842
"3,11,12"	3	0.5179802	0.5525456	0.2977821	0.5405696	0.495156	0.5523689
"3,4,10"	3	0.618808	0.632205	0.4202226	0.6327602	0.6100771	0.6804143
"3,4,11"	3	0.6497184	0.6449459	0.4546067	0.6512352	0.6228833	0.7085223
"3,4,12"	3	0.6211505	0.6402766	0.4140753	0.6408934	0.6445442	0.6985533
"3,4,5"	3	0.6429419	0.6610776	0.4361111	0.646055	0.6217325	0.6834717
"3,4,6"	3	0.6419296	0.6449472	0.4301413	0.6475305	0.6136797	0.6883306
"3,4,7"	3	0.6326205	0.6423321	0.4476923	0.6449656	0.6126073	0.6888277
"3,4,8"	3	0.6267896	0.654196	0.4904241	0.6448439	0.6002807	0.6796423
"3,4,9"	3	0.6310897	0.6789777	0.4825806	0.6695653	0.6140467	0.6927209
"3,5,10"	3	0.6256268	0.6302163	0.4814471	0.6077028	0.5667071	0.6500192
"3,5,11"	3	0.6015316	0.6172602	0.4026596	0.5991014	0.5738226	0.6645688
"3,5,12"	3	0.5854106	0.5947217	0.4125	0.5892265	0.599392	0.6559609
"3,5,6"	3	0.6167623	0.6303554	0.4417077	0.6272908	0.568093	0.6634332
"3,5,7"	3	0.5963386	0.6096288	0.4199656	0.5961998	0.5656718	0.6491877
"3,5,8"	3	0.6394231	0.6519444	0.4341176	0.6559147	0.5776993	0.6550838
"3,5,9"	3	0.6414305	0.6716707	0.5103448	0.6528633	0.582251	0.6615715
"3,6,10"	3	0.4552129	0.5258428	0.3491432	0.4877669	0.4365616	0.5539075
"3,6,11"	3	0.5324535	0.6085386	0.3631397	0.5663252	0.5395951	0.6290409
"3,6,12"	3	0.5580377	0.5805784	0.3519656	0.5731759	0.5374435	0.602679
"3,6,7"	3	0.478017	0.5100171	NaN	0.4914806	0.3950268	0.555712
"3,6,8"	3	0.5382738	0.5921955	0.4093497	0.5689475	0.528397	0.5968218
"3,6,9"	3	0.600074	0.6145114	0.4045003	0.6052695	0.5463022	0.624457
"3,7,10"	3	0.5213273	0.5392721	0.3888889	0.5417932	0.5116398	0.5644863
"3,7,11"	3	0.4776767	0.5516585	0.300243	0.5262701	0.4805412	0.5355224
"3,7,12"	3	0.529006	0.5398803	0.3015873	0.565211	0.5379529	0.5882616
"3,7,8"	3	0.5264697	0.52693	0.4603318	0.5416318	0.4961488	0.5404094
"3,7,9"	3	0.5974066	0.6028464	0.3695409	0.5729076	0.5344083	0.5766485
"3,8,10"	3	0.5314565	0.5601718	0.4791667	0.5591135	0.5416633	0.6029989
"3,8,11"	3	0.5910425	0.5927666	0.4715844	0.6058412	0.5633851	0.6195588
"3,8,12"	3	0.5597613	0.5747785	0.410283	0.5803895	0.5434529	0.5916778
"3,8,9"	3	0.5926799	0.6114967	0.4182236	0.5893417	0.5363259	0.5809567
"3,9,10"	3	0.5813124	0.5918561	0.4149775	0.5761094	0.5372171	0.5839108
"3,9,11"	3	0.5757074	0.5962975	0.3899651	0.5719602	0.5322118	0.5643805
"3,9,12"	3	0.5918521	0.6182595	0.3958567	0.6073986	0.5448232	0.5976662
"4,10,11"	3	0.6251757	0.6381525	0.4370557	0.6281301	0.6103508	0.6883907
"4,10,12"	3	0.6027575	0.6266887	0.3962175	0.6391631	0.6411666	0.7045934
"4,11,12"	3	0.6360354	0.652295	0.4131467	0.6553699	0.641768	0.7203266
"4,5,10"	3	0.6228626	0.6307554	0.4569444	0.609723	0.6028546	0.6845011
"4,5,11"	3	0.6352699	0.6314285	0.4574639	0.6185238	0.6072118	0.6835866
"4,5,12"	3	0.6437225	0.6631204	0.4574639	0.6687545	0.6254261	0.708209
"4,5,6"	3	0.6314584	0.6497469	0.4711111	0.6444399	0.6209457	0.6950584
"4,5,7"	3	0.6348134	0.6337224	0.4422663	0.6148221	0.6136494	0.6923789
"4,5,8"	3	0.6423529	0.662433	0.4672076	0.6534332	0.6265844	0.6946676
"4,5,9"	3	0.6728461	0.6777984	0.4711111	0.6633187	0.6263508	0.69507
"4,6,10"	3	0.6194484	0.6393513	0.4346067	0.646574	0.6129636	0.6807613
"4,6,11"	3	0.6479872	0.6587106	0.4546067	0.6572268	0.6207163	0.7067351
"4,6,12"	3	0.6325518	0.647778	0.4267968	0.6484467	0.6241509	0.7071115
"4,6,7"	3	0.6244796	0.6425137	0.4301413	0.6607347	0.6221278	0.698802
"4,6,8"	3	0.6373968	0.6629508	0.4476923	0.660336	0.6086367	0.6962772
"4,6,9"	3	0.6519516	0.6825705	0.4746067	0.6770081	0.6232043	0.7039144
"4,7,10"	3	0.6218462	0.6409254	0.4518616	0.6440248	0.6216394	0.7050879
"4,7,11"	3	0.6251179	0.6600328	0.4361111	0.6431435	0.6282712	0.7002442
"4,7,12"	3	0.6135924	0.6421732	0.4293478	0.6386849	0.6302683	0.6893672
"4,7,8"	3	0.6160304	0.630895	0.4320074	0.6388781	0.6175321	0.6675874
"4,7,9"	3	0.6394984	0.6620962	0.4233024	0.6559589	0.6172058	0.6673224
"4,8,10"	3	0.6172621	0.6486746	0.4714695	0.6497658	0.6284912	0.7113071
"4,8,11"	3	0.6230554	0.6683035	0.4586813	0.6578527	0.621918	0.7210748
"4,8,12"	3	0.6158249	0.6679529	0.4205236	0.6734581	0.6294113	0.6892881
"4,8,9"	3	0.6461213	0.6680683	0.4610507	0.6658184	0.6045271	0.6648076
"4,9,10"	3	0.6126795	0.6329854	0.4037877	0.6438648	0.5686246	0.639461
"4,9,11"	3	0.6522422	0.6830733	0.479085	0.6733788	0.6287575	0.7136327
"4,9,12"	3	0.6328764	0.6772201	0.438366	0.6656286	0.6192567	0.6938301
"5,10,11"	3	0.5964105	0.6241037	0.4265101	0.5965807	0.5679878	0.6654524
"5,10,12"	3	0.6104142	0.6251856	0.4299852	0.6067565	0.5809637	0.6725793
"5,11,12"	3	0.6063921	0.6206336	0.406015	0.5936232	0.596777	0.6741034
"5,6,10"	3	0.6101944	0.6348785	0.4446839	0.6073441	0.5638949	0.6508806
"5,6,11"	3	0.6077655	0.6328997	0.4217772	0.6027476	0.5640065	0.6612371
"5,6,12"	3	0.5888997	0.6181189	0.4123563	0.6035374	0.5755166	0.6717766
"5,6,7"	3	0.6038809	0.6242622	0.4335548	0.6104245	0.57105	0.6633911
"5,6,8"	3	0.6149936	0.6476331	0.4864253	0.6283335	0.5693278	0.6633916
"5,6,9"	3	0.6439929	0.6793178	0.4624942	0.6573052	0.5905779	0.6703149
"5,7,10"	3	0.5899927	0.6088954	0.46	0.587822	0.5725009	0.6575077
"5,7,11"	3	0.5990281	0.6183668	0.3848024	0.5844093	0.5815166	0.6618531
"5,7,12"	3	0.6031599	0.6239513	0.4373505	0.5933276	0.5665316	0.6503695
"5,7,8"	3	0.6033624	0.6264688	0.4199656	0.6019133	0.5810904	0.6525696
"5,7,9"	3	0.6414634	0.6643519	0.4691358	0.6329445	0.5921285	0.6640466
"5,8,10"	3	0.6117218	0.6338989	0.4623256	0.6149604	0.564172	0.6570659
"5,8,11"	3	0.5913821	0.6490049	0.4421296	0.6259994	0.6033554	0.6778958
"5,8,12"	3	0.6201705	0.6514583	0.4239559	0.6584014	0.6098454	0.6595522
"5,8,9"	3	0.6518649	0.6941738	0.5237793	0.665297	0.5891638	0.6707803
"5,9,10"	3	0.6383712	0.6750356	0.4711111	0.6454752	0.5736586	0.6749006
"5,9,11"	3	0.6485914	0.6981359	0.4509804	0.6629381	0.5893844	0.6741264
"5,9,12"	3	0.6292784	0.6630816	0.453159	0.6518829	0.6019516	0.6754808
"6,10,11"	3	0.4716473	0.5056701	0.3488072	0.4552658	0.440423	0.5502576
"6,10,12"	3	0.4856607	0.5512231	0.3227642	0.5133917	0.4766293	0.5877537
"6,11,12"	3	0.5372398	0.5815449	0.3379329	0.5518064	0.5034722	0.6353616
"6,7,10"	3	0.5045083	0.5423957	0.4021576	0.500872	0.4802667	0.6095713
"6,7,11"	3	0.4910374	0.5452686	0.3488806	0.4980112	0.4606881	0.5856677
"6,7,12"	3	0.5222919	0.5629666	0.3626984	0.5490219	0.4858632	0.6128335
"6,7,8"	3	0.5058452	0.5417444	0.469784	0.562962	0.5272028	0.5852319
"6,7,9"	3	0.5874088	0.599762	0.3756137	0.5655436	0.5144824	0.584721
"6,8,10"	3	0.5220561	0.5507569	0.4654974	0.5187864	0.4799761	0.5679759
"6,8,11"	3	0.5517024	0.6008215	0.4635294	0.5784591	0.5565332	0.6338924
"6,8,12"	3	0.5532733	0.5724482	0.3899868	0.5847878	0.5414087	0.6096153
"6,8,9"	3	0.5912855	0.6367294	0.45	0.6125422	0.5589186	0.6282008
"6,9,10"	3	0.5841191	0.6001648	0.4413699	0.5692852	0.5451269	0.5801887
"6,9,11"	3	0.5800464	0.5987375	0.4177778	0.5698086	0.5371049	0.5866122
"6,9,12"	3	0.5779427	0.6096826	0.3768939	0.5795253	0.5505011	0.6041667
"7,10,11"	3	0.426876	0.4475545	0.3812317	0.4263647	0.448174	0.5552854
"7,10,12"	3	0.4930218	0.5418894	0.3101045	0.5816937	0.5293888	0.6203704
"7,11,12"	3	0.487619	0.5197239	0.2676335	0.523779	0.5054844	0.5831624
"7,8,10"	3	0.554792	0.5219173	0.4435294	0.5379409	0.5078712	0.5570439
"7,8,11"	3	0.4955626	0.5258898	0.4508072	0.5407392	0.4972484	0.5355919
"7,8,12"	3	0.5320829	0.5398983	0.4265873	0.5492719	0.5044542	0.5470786
"7,8,9"	3	0.5952598	0.6126685	0.4389047	0.5810938	0.5389987	0.5854283
"7,9,10"	3	0.5868114	0.6017932	0.4250806	0.5682848	0.5320046	0.5856003
"7,9,11"	3	0.5595114	0.5636478	0.403699	0.5458777	0.5115241	0.5447293
"7,9,12"	3	0.5601449	0.5611939	0.3710889	0.5369429	0.5172872	0.545836
"8,10,11"	3	0.5403685	0.5511966	0.4094307	0.5533192	0.529577	0.5456517
"8,10,12"	3	0.5299051	0.5654866	0.3520672	0.5783835	0.5330149	0.5803652
"8,11,12"	3	0.547318	0.5745966	0.4148551	0.5957054	0.5587526	0.5959334
"8,9,10"	3	0.5910975	0.598524	0.4628378	0.5748385	0.5406494	0.5810873
"8,9,11"	3	0.5818757	0.5970194	0.4060311	0.5714625	0.5399166	0.5758947
"8,9,12"	3	0.6036962	0.6108362	0.4392857	0.5954855	0.5535597	0.5787215
"9,10,11"	3	0.571112	0.5817905	0.3936404	0.5647236	0.5327755	0.5669943
"9,10,12"	3	0.5806563	0.5948972	0.4307073	0.5765348	0.5483686	0.5901224
"9,11,12"	3	0.586388	0.6064772	0.3978113	0.5852013	0.5393108	0.5833919
"1,10,11,12"	4	0.5169223	0.561741	0.4265734	0.5600594	0.5411565	0.6324324
"1,2,10,11"	4	0.3877049	0.4131602	0.4673678	0.3712417	0.4113476	0.4420323
"1,2,10,12"	4	0.5307527	0.5533195	0.3313397	0.5679454	0.5523787	0.6247908
"1,2,11,12"	4	0.5209524	0.5504512	0.2740642	0.5535732	0.5509091	0.6056424
"1,2,3,10"	4	0.516667	0.5378432	0.3866837	0.5373531	0.4909622	0.5540449
"1,2,3,11"	4	0.5155498	0.5345396	0.2797814	0.5331772	0.4827827	0.5226266
"1,2,3,12"	4	0.535252	0.5476411	0.3352903	0.5635038	0.5170317	0.5740029
"1,2,3,4"	4	0.6234346	0.6477733	0.4876837	0.6501606	0.6078241	0.6951457
"1,2,3,5"	4	0.6025366	0.6216538	0.4813622	0.601195	0.5537673	0.6485989
"1,2,3,6"	4	0.4810789	0.5218291	0.3576555	0.5059827	0.422892	0.5580848
"1,2,3,7"	4	0.491322	0.5350258	0.3765601	0.5371276	0.4877469	0.5523673
"1,2,3,8"	4	0.5510063	0.5217745	0.4630769	0.5499913	0.5186072	0.5694339
"1,2,3,9"	4	0.5578951	0.5401267	0.4107143	0.5432375	0.5037642	0.5679141
"1,2,4,10"	4	0.629421	0.6438141	0.4406257	0.6420081	0.6189346	0.6989361
"1,2,4,11"	4	0.6253472	0.6510252	0.4676923	0.6402489	0.6108277	0.7029747
"1,2,4,12"	4	0.6015229	0.6280332	0.3980676	0.6368602	0.6101438	0.6774235
"1,2,4,5"	4	0.6356491	0.633489	0.4361055	0.6132287	0.6045863	0.6734665
"1,2,4,6"	4	0.6335989	0.6456989	0.4267968	0.6486585	0.5967908	0.6830924
"1,2,4,7"	4	0.6397855	0.6499686	0.4879931	0.6518064	0.6121935	0.6917932
